Name,Location,Price,Includes,Trip summary,Rating,Things To do
 Cebu Safari And Adventure Park In Carmen, Cebu,"1,325",Activities,"The trip summary are:
Cebu safari and adventure park in Carmen
Admission to select attractions: Cebu Safari, all animal exhibits, bird show, African Savanna tour, Michel’s Garden
Tram rides inside the park
Thrillophilia voucher
Valid ID Proof
You are not allowed to carry outside food and drinks inside the venue.
You are not allowed to carry your pets inside the venue.
Smoking and drinking are not allowed in the course of the trip.
You can take your baby stroller and wheelchair accessible.
This is a group tour
No cancellations, refunds, or changes can be made
No Refunds applicable
The customer receives a confirmation voucher via email within 24 hours of successful booking
In case the preferred slots are unavailable, an alternate schedule of the customer’s preference will be arranged and a new confirmation voucher will be sent via email.
Alternatively, the customer may choose to cancel their booking before confirmation and a full refund will be processed.",4,"Things to do:
Enjoy a guided wildlife safari
Relish the perfect wildlife adventure

Roam about the African Savanna

Make the most of the bird feeding session with this package"
 Badian Canyoneering And Kawasan Waterfalls Tour, Cebu,"4,125",,"The trip summary are:
Lunch
Badian canyoneering
Private tour
Hotel pick up and drop off
Local guide
Lunch
Motorbike ride to jump off point
Entrance fees to Kawasan Falls and the Badian canyoneering activity
Safety gear (life jacket, aqua shoes, and helmet)
Shared Transfers
Thrillophilia voucher
Valid ID proof
You should put  on active wear for this tour.
This ticket is valid only for the date and time as per the booking.
You are advised to carry one bag with you during the trip.
This is a private tour
If cancelled 72 hours prior to the date of the activity: Full Refund
If cancelled within 72 hours of the date of the activity: No Refund
The applicable refund amount will be processed within 15 business days
The customer receives a confirmation voucher via email within 24 hours of successful booking
In case the preferred slots are unavailable, an alternate schedule of the customer’s preference will be arranged and a new confirmation voucher will be sent via email.
Alternatively, the customer may choose to cancel their booking before confirmation and a full refund will be processed.",3.5,"Things to do:
Head out on a guided tour to some of the famous attractions

Relish the adrenaline rush

Jump off from towering 30 feet high cliff

Head out to visit the famous Kawasan Falls"
 City Tour Bohol From Cebu,Cebu,"4,480","Meals

Transport

Pick-Up & Drop

Activities","The trip summary are:
Loboc river cruise with lunch buffet
City tour Bohol
Entrance fees
Loboc river cruise with lunch buffet
Hotel pick up and drop off from Cebu or Mactan
Round trip fast ferry tickets between Cebu and Tagbilaran
Terminal Fee
Shared Transfers
Thrillophilia Voucher
Valid ID proof
The schedule of ferries to Tagbilaran can vary depending upon the seat availability on ferry transfers.
Confirm pickup time will be informed to you after the confirmation of ferry tickets.
This is a group tour
No cancellations, refunds or changes can be made
No Refunds applicable
The customer receives a confirmation voucher via email within 24 hours of successful booking
In case the preferred slots are unavailable, an alternate schedule of the customer’s preference will be arranged and a new confirmation voucher will be sent via email.
Alternatively, the customer may choose to cancel their booking before confirmation and a full refund will be processed.",3.5,"Things to do:
Explore the popular sights of Bohol

Visit “the tarsier”- World's Smallest Primate

Enjoy cruise on the Loboc River

Gaze at the majestic Bohol’s Chocolates Hills
Spend some time at the butterfly sanctuary"
Celosia Flower Farm & Jumalon Butterfly Sanctuary Tour, Cebu,"3,200","Transport

Pick-Up & Drop

Activities","The trip summary are:
Celosia flower farm in Sirao Cebu
Hotel pick up and drop off from Cebu City
Car charter
Driver
Shared transfers
Thrillophilia voucher
Valid ID proof
For full refunds, cancel the activity 24 hours prior to the tour.
Carry your tour vouchers with you.
Admission fee to the Celosia flower farm and Jumalon Butterfly Sanctuary is not included in the package.

This is a group tour
If cancelled 24 hours prior to the date of the activity: Full Refund
If cancelled within 24 hours of the date of the activity: No Refund
The applicable refund amount will be processed within 15 business days
The customer receives a confirmation voucher via email within 24 hours of successful booking
In case the preferred slots are unavailable, an alternate schedule of the customer’s preference will be arranged and a new confirmation voucher will be sent via email.
Alternatively, the customer may choose to cancel their booking before confirmation and a full refund will be processed.",4.5,"Things to do:
Witness the full blooms at celosia farms
  Explore the popular Cebu’s “Little Amsterdam”

Sight exotic insects at Jumalon Butterfly Sanctuary
 Comfortable round trip transfers on tour"
 Bluewater Sumilon Island Resort Day Tour,Cebu,"4,500","Meals

Transport

Activities","The trip summary are:
Welcome drinks
Lunch buffet at Pulo Restaurant
Bluewater Sumilon island resort day tour
Round trip boat transfers (Puerto Sumilon to Sumilon Island and vice versa)
Welcome drinks
Lunch buffet at Pulo Restaurant
Use of mask and snorkel
Use of beach towel
Use of the lagoon swimming pool, beach, and shower rooms
Use of payag, kiddie park, and sun beds
Island adventure activities (trekking, fishing at the lagoon, fish feeding, kayaking, and pedal boating)
Shared Transfers
Thrillophilia voucher
Valid ID proof
Free cancellation on 48  hours prior notice
This is a group tour
If cancelled 48 hours prior to the date of the activity: Full Refund
If cancelled within 48 hours of the date of the activity: No Refund
The applicable refund amount will be processed within 15 business days
The customer receives a confirmation voucher via email within 24 hours of successful booking
In case the preferred slots are unavailable, an alternate schedule of the customer’s preference will be arranged and a new confirmation voucher will be sent via email.
Alternatively, the customer may choose to cancel their booking before confirmation and a full refund will be processed.",4,"Things to do:
Access to Bluewater Sumilon Beach Resort

Plan a weekday/weekend holiday as per your wish

Visit the Sumilon Island's Yamashita cave
Enjoy exclusive amenities at the beach resort"
Vita Isola Leisure Farm Bohol Tour, Cebu,"3,720","Meals

Pick-Up & Drop

Activities","The trip summary are:
Lunch Included
vita isola leisure farm bohol
Private tour
Hotel pick up and drop off within Panglao area
Bottled water
Local English-speaking guide
Lunch (worth PHP500 on weekdays/PHP300 on weekends)
Entrance fees
Passenger tour insurance
Pool access
Shared Vehicle
Thrillophilia Voucher
Valid ID Proof
The tour is not for those in a wheelchair. The place is also not stroller accessible.
Pregnant women and visitors with disabilities can join the tour without any difficulty
Please inform your hotel name and address while booking. Hotel pick-up and drop off is available within Panglao and Tagbilaran area only.
Please be present at your hotel lobby at least 15-20 minutes before your scheduled departure.
This is a group tour
Full refunds will be issued for cancellations made at least 24 hours prior to the activity
Full refunds will be issued for cancellations made at least 24 hours prior to the activity
The applicable refund amount will be processed within 15 business days
All applicable refunds will be done in traveller's thrillophilia wallet as Thrillcash
The customer receives a confirmation voucher via email within 24 hours of successful booking
In case the preferred slots are unavailable, an alternate schedule of the customer’s preference will be arranged and a new confirmation voucher will be sent via email.
Alternatively, the customer may choose to cancel their booking before confirmation and a full refund will be processed.",4.5,"Things to do:
Spend some enjoyable time at Leisure Farm

Learn about sustainable farming

Inhabitants of the animal farm

Enjoy sumptuous lunch "
